"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
CELLES;57018;A   
CELLES;64076;A   
CELLES;91072;G   
CEREXHE-HEUSEUX*;62099;E   
CERFONTAINE;93010;    
CERFONTAINE;93010;A   
CEROUX-MOUSTY*;25121;B   
CHAINEUX;63035;D   
CHAMPION - COGNELEE;92094;N   
CHAMPLON;83049;B   
CHANLY;84075;E   
CHANTEMELLE;85009;C   
CHAPELLE-A-OIE;57094;D   
CHAPELLE-A-WATTINES;57094;C   
CHAPELLE-LEZ-HERLAIMONT;52010;    
CHAPELLE-LEZ-HERLAIMONT;52010;A   
CHAPON-SERAING;61063;C   
CHARLEROI;52011;    
CHARLEROI;52011;A   
CHARNEUX*;63035;B   
CHASSEPIERRE;85011;C   
CHASTRE;25117;    
CHASTRES;93088;N   
CHASTRE-VILLEROUX-BLANMONT;25117;A   
CHATELET;52012;    
CHATELET;52012;A   
CHATELINEAU;52012;B   
CHATILLON;85034;B   
CHAUDFONTAINE;62022;    
CHAUDFONTAINE;62022;A   
CHAUMONT-GISTOUX;25018;    
CHAUMONT-GISTOUX;25018;A   
CHAUSSEE-NOTRE-DAME-LOUVIGNIES;55040;F   
CHENEE*;62063;G   
CHERAIN;82037;D   
CHERATTE* + PARTIE DE HERSTAL, WANDRE;62108;D   
CHERCQ;57081;C   
CHEVETOGNE;91030;E   
CHEVRON;63075;D   
CHIEVRES;51014;    
CHIEVRES;51014;A   
CHIMAY;56016;    
CHIMAY;56016;A   
CHINY;85007;    
CHINY;85007;A   
CIERGNON;91072;J   
CINEY;91030;    
CINEY;91030;A   
CIPLET;64015;G   
CIPLY;53053;S   
CLABECQ;25105;C   
CLAVIER;61012;    
CLAVIER;61012;A   
CLERMONT;63089;B   
CLERMONT;93088;E   
CLERMONT-SOUS-HUY;61080;C   
COLFONTAINE;53082;    
COMBLAIN-AU-PONT;62026;    
COMBLAIN-AU-PONT*+ PARTIE DE ANTHISNES;62026;A   
COMBLAIN-FAIRON;61024;B   
COMINES;54010;    
COMINES;54010;A   
CONNEUX;91030;F   
CORBAIS;25068;B   
CORBION + PARTIE D'ALLE;84010;B   
CORDES;51065;K   
CORENNE;93022;B   
CORROY-LE-CHATEAU;92142;H   
CORROY-LE-GRAND*;25018;B   
CORSWAREM;64008;C   
CORTIL-NOIRMONT;25117;B   
CORTIL-WODON;92138;J   
COUILLET;52011;F   
COURCELLES;52015;    
COURCELLES + PARTIE DE ROUX;52015;A   
COURRIERE;92006;E   
COUR-SUR-HEURE;56086;C   
COURT-SAINT-ETIENNE;25023;    
COURT-SAINT-ETIENNE;25023;A   
COUTHUIN*;61028;C   
COUTISSE;92003;B   
COUTURE-SAINT-GERMAIN;25119;B   
COUVIN;93014;    
COUVIN;93014;A   
CRAS-AVERNAS;64034;D   
CREHEN;64034;K   
CRISNEE;64021;    
CRISNEE;64021;A   
CROIX-LEZ-ROUVEROY;56085;F   
