name,zipCode,nisCode,province
Donstiennes,6536,56078,Henegouwen
Dorinne,5530,91141,Namen
Dormaal,3440,24130,Vlaams-Brabant
Dottenijs,7711,54007,Henegouwen
Dour,7370,53020,Henegouwen
Dourbes,5670,93090,Namen
Dranouter,8951,33039,West-Vlaanderen
Driekapellen,8600,32003,West-Vlaanderen
Drieslinter,3350,24133,Vlaams-Brabant
Drogenbos,1620,23098,Vlaams-Brabant
Drongen,9031,44021,Oost-Vlaanderen
Dréhance,5500,91034,Namen
Dudzele,8380,31005,West-Vlaanderen
Duffel,2570,12009,Antwerpen
Duisburg,3080,24104,Vlaams-Brabant
Duras,3803,71053,Limburg
Durbuy,6940,83012,Luxemburg
Durnal,5530,91141,Namen
Dworp,1653,23003,Vlaams-Brabant
Eben-Emael,4690,62011,Luik
Ebly,6860,84033,Luxemburg
Ecaussinnes-D'Enghien,7190,55050,Henegouwen
Ecaussinnes-Lalaing,7191,55050,Henegouwen
Edegem,2650,11013,Antwerpen
Edelare,9700,45035,Oost-Vlaanderen
Edingen,7850,55010,Henegouwen
Eeklo,9900,43005,Oost-Vlaanderen
Eernegem,8480,35006,West-Vlaanderen
Egem,8740,37011,West-Vlaanderen
Eggewaartskapelle,8630,38025,West-Vlaanderen
Eghezée,5310,92035,Namen
Ehein,4120,62121,Luik
Ehein,4480,62121,Luik
Eigenbilzen,3740,73006,Limburg
Eindhout,2430,13053,Antwerpen
Eine,9700,45035,Oost-Vlaanderen
Eisden,3630,73107,Limburg
Eke,9810,44048,Oost-Vlaanderen
Ekeren,2180,11002,Antwerpen
Eksaarde,9160,46014,Oost-Vlaanderen
Eksel,3941,72038,Limburg
Elen,3650,72041,Limburg
Elene,9620,41081,Oost-Vlaanderen
Elewijt,1982,23096,Vlaams-Brabant
Eliksem,3400,24059,Vlaams-Brabant
Elingen,1671,23064,Vlaams-Brabant
Ellemelle,4590,61048,Luik
Ellezelles,7890,51017,Henegouwen
Ellignies-Lez-Frasnes,7910,51065,Henegouwen
Ellignies-Saint-Anne,7972,51008,Henegouwen
Ellikom,3670,72040,Limburg
Elouges,7370,53020,Henegouwen
Elsegem,9790,45061,Oost-Vlaanderen
Elsenborn,4750,63013,Luik
Elsene,1050,21009,Brussel
Elst,9660,45059,Oost-Vlaanderen
Elverdinge,8906,33011,West-Vlaanderen
Elversele,9140,46025,Oost-Vlaanderen
Emblem,2520,11035,Antwerpen
Embourg,4053,62022,Luik
Emelgem,8870,36008,West-Vlaanderen
Emines,5080,92141,Namen
Emptinne,5363,91059,Namen
Ename,9700,45035,Oost-Vlaanderen
Engelmanshoven,3800,71053,Limburg
Engis,4480,61080,Luik
Enines,1350,25120,Waals-Brabant
Ensival,4800,63079,Luik
Epinois,7134,56011,Henegouwen
Eppegem,1980,23096,Vlaams-Brabant
Eprave,5580,91114,Namen
Erbaut,7050,53044,Henegouwen
Erbisoeul,7050,53044,Henegouwen
Ere,7500,57081,Henegouwen
Erembodegem,9320,41002,Oost-Vlaanderen
Erezée,6997,83013,Luxemburg
Ermeton-Sur-Biert,5644,92087,Namen
Ernage,5030,92142,Namen
Erneuville,6972,83049,Luxemburg
Ernonheid,4920,62009,Luik
Erondegem,9420,41082,Oost-Vlaanderen
Erpe,9420,41082,Oost-Vlaanderen
Erpent,5101,92094,Namen
Erpion,6441,56029,Henegouwen
Erps-Kwerps,3071,24055,Vlaams-Brabant
Erquelinnes,6560,56022,Henegouwen
Erquennes,7387,53083,Henegouwen
Ertvelde,9940,44019,Oost-Vlaanderen
Erwetegem,9620,41081,Oost-Vlaanderen
Escanaffles,7760,57018,Henegouwen
Esen,8600,32003,West-Vlaanderen
Esneux,4130,62032,Luik
Esplechin,7502,57081,Henegouwen
Esquelmes,7743,57062,Henegouwen
Essen,2910,11016,Antwerpen
Essene,1790,23105,Vlaams-Brabant
Estaimbourg,7730,57027,Henegouwen
Estaimpuis,7730,57027,Henegouwen
Estinnes-Au-Mont,7120,56085,Henegouwen
